Placement,Accuracy,Loss
layer1.0.conv1, 36.01, 0.014482153724185928
layer1.0.conv2, 33.16, 0.013228511409803212 
layer1.1.conv1, 31.48, 0.020825920403231248
layer1.1.conv2, 25.17, 0.019148962526231602
layer2.0.conv1, 32.02, 0.014835539953979897
layer2.0.conv2, 15.37, 0.019311990407806342
layer2.1.conv1, 31.36, 0.019223206308422638
layer2.1.conv2, 22.09, 0.0227878221757966
layer3.0.conv1, 19.37, 0.016164324853401447
layer3.0.conv2, 20.64, 0.016274501907822436 
layer3.1.conv1, 27.51, 0.021207480890722365
layer3.1.conv2, 30.64, 0.016363433979643183
layer4.0.conv1, 19.34, 0.0151470361638233
layer4.0.conv2, 19.75, 0.02002376477267488
layer4.1.conv1, 4.07, 0.01933297444372937
layer4.1.conv2, 18.73, 0.07504247227476492